Accident_ID,Location,Latitude,Longitude,Date,Time,Severity,Cause,Road_Type,Weather
ID-126,Nagpur,21.08598,78.98497,2023-06-07,22:42,Serious,Drunk Driving,City Road,Rain
ID-127,Chennai,12.96133,80.28906,2023-01-04,20:07,Serious,Weather/Low Visibility,Highway,Dust Storm
ID-128,Varanasi,25.30652,82.94602,2023-01-22,18:25,Serious,Over-speeding,City Road,Clear
ID-129,Lucknow,26.87242,80.91515,2023-05-29,23:26,Fatal,Drunk Driving,Highway,Dust Storm
ID-130,Madurai,9.98952,78.09202,2023-02-24,12:54,Minor,Weather/Low Visibility,Rural Road,Dust Storm
ID-131,Bangalore,12.82359,77.6741,2023-03-28,20:49,Serious,Over-speeding,Rural Road,Clear
ID-132,Delhi,28.60398,77.25296,2023-03-17,23:52,Fatal,Drunk Driving,Highway,Clear
ID-133,Bangalore,12.85205,77.53057,2023-08-26,23:31,Minor,Potholes,Rural Road,Dust Storm
ID-134,Pune,18.52706,73.8249,2023-08-29,21:04,Minor,Weather/Low Visibility,City Road,Fog
ID-135,Bangalore,12.90558,77.51484,2023-05-27,18:23,Minor,Over-speeding,Rural Road,Clear
ID-136,Nagpur,21.11882,79.01534,2023-10-20,18:28,Fatal,Signal Jumping,City Road,Rain
ID-137,Hyderabad,17.40027,78.49154,2023-09-16,03:05,Minor,Weather/Low Visibility,Highway,Rain
ID-138,Chennai,13.03183,80.20455,2023-07-29,20:24,Serious,Distracted Driving,Rural Road,Clear
ID-139,Delhi,28.65892,76.83296,2023-05-10,10:18,Serious,Weather/Low Visibility,City Road,Rain
ID-140,Delhi,28.66544,77.25837,2023-03-08,02:25,Minor,Potholes,City Road,Clear
ID-141,Delhi,28.6574,76.96424,2023-09-27,23:43,Minor,Weather/Low Visibility,Rural Road,Dust Storm
ID-142,Delhi,28.47211,76.9071,2023-02-09,03:09,Minor,Distracted Driving,Rural Road,Clear
ID-143,Chennai,13.15054,80.27674,2023-11-02,14:08,Minor,Weather/Low Visibility,Highway,Rain
ID-144,Varanasi,25.33857,83.02495,2023-07-06,18:26,Minor,Signal Jumping,City Road,Rain
ID-145,Chennai,13.12572,80.25676,2023-08-29,01:51,Minor,Drunk Driving,Rural Road,Fog
ID-146,Pune,18.49234,73.75635,2023-04-13,16:10,Minor,Weather/Low Visibility,City Road,Rain
ID-147,Hyderabad,17.39612,78.37424,2023-02-12,00:18,Serious,Drunk Driving,City Road,Fog
ID-148,Delhi,28.57499,77.27321,2023-01-28,09:26,Fatal,Weather/Low Visibility,Highway,Fog
ID-149,Kolkata,22.51632,88.34491,2023-03-16,23:21,Minor,Drunk Driving,City Road,Clear
ID-150,Varanasi,25.29449,83.06622,2023-02-10,15:00,Serious,Over-speeding,Highway,Fog
ID-151,Nashik,20.04545,73.80555,2023-01-25,08:07,Minor,Drunk Driving,Rural Road,Dust Storm
ID-152,Delhi,28.58285,76.85543,2023-09-21,18:40,Fatal,Weather/Low Visibility,Rural Road,Rain
ID-153,Nashik,19.98585,73.82296,2023-12-09,15:42,Serious,Over-speeding,Highway,Fog
ID-154,Delhi,28.71456,77.05381,2023-07-18,15:40,Minor,Weather/Low Visibility,Rural Road,Fog
ID-155,Hyderabad,17.4577,78.36896,2023-10-25,18:49,Minor,Weather/Low Visibility,Highway,Fog
ID-156,Hyderabad,17.4092,78.4627,2023-11-20,23:30,Minor,Drunk Driving,Highway,Rain
ID-157,Madurai,9.8074,78.04032,2023-07-23,01:32,Serious,Weather/Low Visibility,City Road,Dust Storm
ID-158,Nashik,19.95722,73.87243,2023-07-08,14:07,Minor,Weather/Low Visibility,Rural Road,Dust Storm
ID-159,Bangalore,13.08694,77.56781,2023-09-23,09:23,Serious,Distracted Driving,Rural Road,Clear
ID-160,Bangalore,12.92735,77.58612,2023-02-10,14:06,Serious,Weather/Low Visibility,City Road,Fog
ID-161,Meerut,29.04353,77.63333,2023-06-30,18:46,Minor,Potholes,City Road,Dust Storm
ID-162,Bangalore,13.03744,77.51147,2023-12-14,20:32,Minor,Drunk Driving,Highway,Clear
ID-163,Mumbai,19.1546,72.93562,2023-11-27,18:15,Minor,Distracted Driving,City Road,Fog
ID-164,Varanasi,25.20648,82.93069,2023-02-09,21:48,Minor,Weather/Low Visibility,Rural Road,Rain
ID-165,Chennai,12.99432,80.15574,2023-09-23,19:31,Minor,Distracted Driving,City Road,Clear
ID-166,Delhi,28.68162,76.90729,2023-03-04,04:12,Serious,Drunk Driving,City Road,Clear
ID-167,Nagpur,21.03453,79.11401,2023-12-30,23:22,Serious,Over-speeding,City Road,Fog
ID-168,Pune,18.58546,73.82754,2023-03-13,13:12,Minor,Weather/Low Visibility,Highway,Dust Storm
ID-169,Indore,22.71446,75.79348,2023-06-08,18:04,Serious,Weather/Low Visibility,Rural Road,Dust Storm
ID-170,Chennai,13.02283,80.21498,2023-08-27,08:28,Fatal,Signal Jumping,Highway,Fog
ID-171,Nashik,20.05605,73.82796,2023-01-29,22:58,Serious,Drunk Driving,City Road,Rain
ID-172,Pune,18.54187,73.7692,2023-11-22,20:12,Minor,Distracted Driving,Highway,Fog
ID-173,Indore,22.72289,75.71869,2023-03-29,07:09,Serious,Weather/Low Visibility,Rural Road,Fog
ID-174,Delhi,28.74551,76.84061,2023-10-20,23:13,Minor,Signal Jumping,City Road,Clear
ID-175,Mumbai,19.09257,72.86042,2023-02-07,20:29,Minor,Signal Jumping,Highway,Clear
ID-176,Bangalore,12.93188,77.59685,2023-06-13,08:20,Minor,Weather/Low Visibility,City Road,Fog
ID-177,Nagpur,21.07411,79.0685,2023-08-19,15:17,Minor,Weather/Low Visibility,Highway,Rain
ID-178,Pune,18.58908,73.87283,2023-10-23,13:59,Minor,Signal Jumping,Highway,Fog
ID-179,Chennai,13.04948,80.20294,2023-07-21,08:05,Fatal,Weather/Low Visibility,Highway,Dust Storm
ID-180,Lucknow,26.77058,80.81011,2023-05-27,23:30,Minor,Distracted Driving,Highway,Clear
ID-181,Mumbai,19.16474,72.9455,2023-10-19,08:03,Minor,Weather/Low Visibility,City Road,Rain
ID-182,Pune,18.41471,73.80085,2023-03-02,16:39,Serious,Drunk Driving,City Road,Clear
ID-183,Madurai,9.87464,78.19736,2023-09-18,13:38,Fatal,Over-speeding,Highway,Clear
ID-184,Nagpur,21.06661,79.04212,2023-06-17,16:08,Minor,Weather/Low Visibility,Highway,Fog
ID-185,Nashik,20.0233,73.86852,2023-09-08,22:34,Fatal,Signal Jumping,City Road,Fog
ID-186,Madurai,9.93476,78.19598,2023-01-14,17:40,Serious,Potholes,City Road,Dust Storm
ID-187,Hyderabad,17.45658,78.45523,2023-09-03,18:37,Serious,Drunk Driving,Highway,Dust Storm
ID-188,Bangalore,12.87266,77.61451,2023-06-10,18:28,Serious,Weather/Low Visibility,City Road,Rain
ID-189,Delhi,28.56415,77.18749,2023-03-12,11:45,Fatal,Weather/Low Visibility,Rural Road,Rain
ID-190,Mumbai,19.09867,72.9051,2023-10-07,07:21,Minor,Weather/Low Visibility,Rural Road,Fog
ID-191,Mumbai,19.1872,72.8558,2023-04-17,14:45,Minor,Weather/Low Visibility,City Road,Dust Storm
ID-192,Kolkata,22.6121,88.4869,2023-12-13,08:36,Serious,Potholes,City Road,Dust Storm
ID-193,Delhi,28.78184,77.20231,2023-06-27,06:05,Serious,Weather/Low Visibility,Rural Road,Fog
ID-194,Mumbai,18.96062,72.90772,2023-11-12,04:06,Fatal,Weather/Low Visibility,Highway,Rain
ID-195,Hyderabad,17.48104,78.34513,2023-08-30,06:21,Serious,Over-speeding,Highway,Rain
ID-196,Hyderabad,17.33159,78.43058,2023-05-28,19:48,Fatal,Weather/Low Visibility,Rural Road,Fog
ID-197,Nagpur,21.15374,79.09569,2023-01-20,23:54,Fatal,Drunk Driving,Highway,Dust Storm
ID-198,Nashik,20.06724,73.85759,2023-06-02,18:00,Fatal,Potholes,City Road,Clear
ID-199,Bangalore,12.88537,77.69782,2023-09-16,19:54,Minor,Weather/Low Visibility,Highway,Fog
ID-200,Mumbai,18.99921,72.94622,2023-06-22,08:00,Serious,Distracted Driving,Highway,Rain
ID-201,Hyderabad,17.42775,78.3811,2023-12-09,18:25,Serious,Weather/Low Visibility,Highway,Rain
ID-202,Hyderabad,17.48717,78.30137,2023-06-04,20:21,Fatal,Potholes,City Road,Clear
ID-203,Mumbai,19.09611,72.93855,2023-03-23,21:19,Minor,Weather/Low Visibility,Rural Road,Fog
ID-204,Hyderabad,17.48323,78.35901,2023-03-20,13:30,Fatal,Weather/Low Visibility,City Road,Fog
ID-205,Chennai,13.17384,80.25147,2023-11-02,13:48,Serious,Over-speeding,Rural Road,Dust Storm
ID-206,Mumbai,18.92343,72.91283,2023-10-02,16:36,Fatal,Drunk Driving,City Road,Rain
ID-207,Bangalore,12.93255,77.63606,2023-09-19,10:57,Serious,Over-speeding,City Road,Clear
ID-208,Delhi,28.6053,77.0284,2023-06-07,23:51,Serious,Drunk Driving,City Road,Clear
ID-209,Jaipur,26.8006,75.74358,2023-02-02,20:44,Serious,Distracted Driving,Highway,Clear
ID-210,Delhi,28.79445,77.03604,2023-11-25,13:49,Minor,Signal Jumping,City Road,Dust Storm
ID-211,Lucknow,26.7765,80.97392,2023-10-04,12:42,Fatal,Weather/Low Visibility,Highway,Fog
ID-212,Bangalore,12.96118,77.60577,2023-08-26,12:19,Minor,Weather/Low Visibility,Rural Road,Dust Storm
ID-213,Pune,18.44593,73.79213,2023-02-27,13:48,Minor,Over-speeding,Rural Road,Dust Storm
ID-214,Kolkata,22.67675,88.30313,2023-08-17,06:02,Fatal,Distracted Driving,Highway,Clear
ID-215,Mumbai,19.12216,72.88045,2023-09-15,10:08,Serious,Weather/Low Visibility,Rural Road,Rain
ID-216,Mumbai,19.07324,72.95451,2023-09-24,07:42,Serious,Weather/Low Visibility,City Road,Dust Storm
ID-217,Delhi,28.62269,77.09583,2023-10-12,17:27,Serious,Signal Jumping,City Road,Clear
ID-218,Meerut,29.03427,77.75716,2023-06-03,11:09,Serious,Weather/Low Visibility,Rural Road,Rain
ID-219,Varanasi,25.36987,82.96015,2023-07-31,18:35,Minor,Weather/Low Visibility,City Road,Rain
ID-220,Mumbai,18.961,72.92934,2023-04-08,22:46,Minor,Over-speeding,City Road,Fog
ID-221,Pune,18.57472,73.73763,2023-09-03,17:13,Serious,Drunk Driving,City Road,Fog
ID-222,Lucknow,26.70307,80.98743,2023-05-05,06:58,Serious,Signal Jumping,City Road,Rain
ID-223,Chennai,13.06562,80.2551,2023-06-07,16:22,Serious,Distracted Driving,Rural Road,Fog
ID-224,Delhi,28.5864,77.20141,2023-06-10,19:23,Serious,Over-speeding,Rural Road,Clear
ID-225,Pune,18.54825,73.70324,2023-06-01,10:26,Minor,Weather/Low Visibility,City Road,Rain
ID-226,Delhi,28.62792,76.92287,2023-09-08,17:16,Minor,Weather/Low Visibility,City Road,Dust Storm
ID-227,Meerut,29.059,77.63385,2023-10-05,15:58,Minor,Signal Jumping,Rural Road,Clear
ID-228,Mumbai,18.91015,72.96934,2023-11-19,21:08,Minor,Drunk Driving,Rural Road,Clear
ID-229,Pune,18.43021,73.74374,2023-12-08,12:40,Serious,Weather/Low Visibility,Rural Road,Dust Storm
ID-230,Bangalore,12.80198,77.61033,2023-10-02,23:17,Minor,Distracted Driving,Rural Road,Clear
ID-231,Varanasi,25.33481,83.06123,2023-05-04,06:09,Serious,Weather/Low Visibility,City Road,Fog
ID-232,Mumbai,19.01907,72.87461,2023-04-26,03:44,Minor,Distracted Driving,Rural Road,Clear
ID-233,Pune,18.52998,73.70634,2023-01-29,22:30,Serious,Drunk Driving,Rural Road,Clear
ID-234,Nagpur,21.09997,79.03017,2023-01-22,10:58,Serious,Drunk Driving,Rural Road,Rain
ID-235,Mumbai,19.04265,72.80931,2023-12-03,22:36,Serious,Drunk Driving,City Road,Rain
ID-236,Bangalore,12.84326,77.66414,2023-05-04,19:36,Serious,Potholes,Rural Road,Dust Storm
ID-237,Nagpur,21.06635,79.12668,2023-06-27,17:32,Serious,Over-speeding,City Road,Clear
ID-238,Hyderabad,17.34643,78.3152,2023-06-17,16:49,Minor,Weather/Low Visibility,City Road,Fog
ID-239,Mumbai,19.00674,72.98823,2023-07-14,22:42,Fatal,Drunk Driving,Highway,Fog
ID-240,Pune,18.43084,73.84234,2023-07-04,21:20,Serious,Over-speeding,Highway,Clear
ID-241,Delhi,28.57789,77.18067,2023-08-18,19:27,Minor,Weather/Low Visibility,Highway,Dust Storm
ID-242,Bangalore,12.90617,77.51861,2023-07-31,08:18,Minor,Signal Jumping,Rural Road,Clear
ID-243,Kolkata,22.68104,88.49563,2023-03-28,13:24,Serious,Weather/Low Visibility,City Road,Fog
ID-244,Mumbai,18.94378,72.83344,2023-02-09,14:50,Serious,Distracted Driving,Highway,Fog
ID-245,Lucknow,26.79916,80.92333,2023-07-22,03:00,Serious,Weather/Low Visibility,City Road,Dust Storm
ID-246,Nashik,20.06471,73.83021,2023-12-22,14:38,Minor,Weather/Low Visibility,City Road,Dust Storm
ID-247,Indore,22.67965,75.76383,2023-05-05,11:36,Serious,Distracted Driving,City Road,Dust Storm
ID-248,Nagpur,21.07859,78.93417,2023-12-16,07:11,Serious,Potholes,Rural Road,Clear
ID-249,Lucknow,26.79232,80.94167,2023-07-29,18:52,Minor,Signal Jumping,Highway,Dust Storm
ID-250,Jaipur,26.8484,75.83173,2023-11-03,15:28,Serious,Weather/Low Visibility,Rural Road,Dust Storm
ID-251,Bangalore,13.07612,77.63834,2023-10-02,06:57,Minor,Distracted Driving,Highway,Clear
ID-252,Pune,18.55379,73.83152,2023-10-16,17:02,Serious,Signal Jumping,City Road,Dust Storm
ID-253,Varanasi,25.28609,82.90211,2023-10-13,07:33,Minor,Weather/Low Visibility,City Road,Rain
ID-254,Kolkata,22.59261,88.43591,2023-09-05,05:01,Minor,Over-speeding,City Road,Fog
ID-255,Varanasi,25.21717,83.06626,2023-08-22,14:21,Serious,Weather/Low Visibility,City Road,Dust Storm
ID-256,Jaipur,26.88763,75.83935,2023-12-30,06:51,Minor,Over-speeding,City Road,Clear
ID-257,Kolkata,22.62959,88.43543,2023-10-10,13:11,Minor,Weather/Low Visibility,Rural Road,Fog
